dsid,mzp,mdh,mdm,gq,gx,acc_MET150200_2b,acc_MET200350_2b,acc_MET350500_2b,acc_MET500750_2b,acc_MET750_2b,acc_MET150200_3b,acc_MET200350_3b,acc_MET350500_3b,acc_MET500_3b,acc_total,sensitivity
100847,2000,110,470,0.25,0.5,0.000711855,0.0793606,0.0368227,0.0230724,0.00645539,0.0,0.00089787,0.000326831,0.000875772,0.148523418,0.479793130019
100848,2000,110,470,0.25,1.0,0.000849125,0.0737509,0.0419369,0.0240418,0.00670204,0.0,0.00174188,0.000474934,0.0011404,0.15063797900000003,6.58411358948
100849,2000,110,470,0.25,1.5,0.00133118,0.0841397,0.0401526,0.024514,0.00698442,0.0,0.00146925,0.000538855,0.00106729,0.160197295,24.9150212557
100850,2000,110,470,0.25,2.0,0.00133452,0.0849894,0.0444537,0.0291249,0.00778446,0.000114006,0.000970362,0.000836663,0.00128203,0.170890041,61.0263180108
100851,2000,110,470,0.25,2.5,0.00103317,0.0849289,0.0470259,0.0356567,0.00849817,0.0,0.000480724,0.000785146,0.00122277,0.17963148,110.468874039
100852,2000,110,470,0.25,3.0,0.000113882,0.0914953,0.0555235,0.0378806,0.00852808,0.0,0.00201065,0.000365347,0.00147937,0.19739672900000002,166.375909928
100853,2000,110,470,0.25,3.5,0.00101051,0.0890029,0.0579789,0.0408898,0.011509,0.0,0.0012882,0.000668253,0.0012049,0.203552463,227.844753827
100855,2000,110,655,0.25,1.0,0.000993754,0.0720883,0.0354156,0.0194867,0.00733147,0.0,0.0012363,0.000465587,0.000794649,0.13781236,3.05080498498
100856,2000,110,655,0.25,1.5,0.00118245,0.0800383,0.036382,0.0200318,0.00808661,0.0,0.000935991,0.000805418,0.00171692,0.14917948900000003,13.6499672215
100857,2000,110,655,0.25,2.0,0.000593253,0.0774249,0.0337878,0.0222828,0.00936581,0.0,0.00102779,0.000618447,0.000645467,0.145746267,34.0569065187
100858,2000,110,655,0.25,2.5,0.000809088,0.0795006,0.0381817,0.0242093,0.00918781,0.0,0.000815415,0.000295101,0.000929794,0.15392880800000003,65.1497074419
100861,2000,110,840,0.25,0.5,0.000688401,0.0628094,0.032728,0.0230851,0.00913176,0.0,0.000896846,0.000460314,0.00118632,0.130986141,0.0748482909189
100862,2000,110,840,0.25,1.0,0.00207657,0.0693071,0.0305279,0.0250355,0.00995209,0.0,0.00126891,0.00101167,0.000795206,0.139974946,1.20552580297
100865,2000,110,840,0.25,2.5,0.000615421,0.0747891,0.0336144,0.0238568,0.00785902,0.0,0.000881518,0.000406306,0.00098441,0.14300697499999998,30.5386375998
100866,2000,110,840,0.25,3.0,0.000398436,0.0748674,0.0337435,0.026104,0.00891082,0.0,0.00152042,0.000946639,0.000914275,0.14740549,60.1305120491
100867,2000,110,840,0.25,3.5,0.000866945,0.0730658,0.0345039,0.0245244,0.010111,0.0,0.00159539,0.000471726,0.000605492,0.145744653,96.4397109158
100869,2000,110,1025,0.25,1.0,0.000821179,0.0766119,0.0372396,0.0241614,0.0122875,0.0,0.00121876,0.000469121,0.00105204,0.1538615,0.0321662511319
100870,2000,110,1025,0.25,1.5,0.000415334,0.0693315,0.0412409,0.0269485,0.0106326,0.0,0.000779092,0.00061017,0.00102301,0.15098110599999998,0.160201087227
100871,2000,110,1025,0.25,2.0,0.000548663,0.0709329,0.0376596,0.0258942,0.0110887,0.0,0.00119496,0.000710564,0.0015088,0.149538387,0.508621585721
